"brand.recall","count"
"mcdonalds",190
"kfc",182
"burgerking",163
"subway",97
"popeyes",59
"maxburgers",57
"wendys",57
"pizzahut",54
"tacobell",53
"northfish",32
"kebabking",24
"fiveguys",19
"pasibus",19
"dunkindonuts",17
"chipotle",16
"dominos",16
"innout",16
"saladstory",14
"dominospizza",12
"thaiwok",12
"maxpremiumburgers",8
"pandaexpress",8
"papajohns",8
"bobbyburger",7
"chickfila",6
"dagrasso",6
"jollibee",6
"telepizza",5
"5guys",4
"amirkebab",4
"donerkebab",4
"silverdragon",4
"arbys",3
"dairyqueen",3
"hesburger",3
"loteria",3
"raisingcanes",3
"shakeshack",3
"whitecastle",3
"zahirkebab",3
"littleceaser",2
"mosburger",2
"pizzadominos",2
"sonic",2
"whataburger",2
"applebees",1
"chuckecheese",1
"dodopizza",1
"hooters",1
"matsuya",1
"otacos",1
"wingstop",1
"wkusnoitoczka",1
"wrapme",1
